,Euclide,Manhattan,Minkowski,KNN,NB,DT,SVC,LDA,LR
PCA(n_components=60),0.9799799930410579,0.979563326374391,0.9799799930410579,0.9828983994432846,0.9487073764787752,0.9070076548364648,0.9874852122477383,0.9858176757132917,0.9829001391788449
LocallyLinearEmbedding(n_components=100),0.9190970772442588,0.9808141962421713,0.9190970772442588,0.9353670842032011,0.9282794015309672,0.9232715727209465,0.9236856297842728,0.9228557759220599,0.6343475991649269
"KernelPCA(degree=1, n_components=61)",0.9799799930410579,0.979563326374391,0.9799799930410579,0.9828983994432846,0.9482898399443285,0.9103348990953375,0.9874852122477383,0.9858176757132917,0.9824852122477383
"IncrementalPCA(batch_size=60, n_components=60, whiten=True)",0.9799808629088378,0.9791457898399443,0.9799808629088378,0.9795650661099513,0.9470407098121086,0.9095050452331245,0.9845685455810717,0.9858176757132917,0.9845676757132915
