,Tình trạng thanh toán,Tổng tiền
0,Đã thanh toán,3600000
1,Chờ xử lý,10249200
2,Chờ xử lý,10249200
3,Chờ xử lý,10249200
4,Đã thanh toán,3420000
5,Đã thanh toán,3510000
6,Chờ xử lý,1340000
7,Chờ xử lý,2786000
8,Chờ xử lý,2786000
9,Chờ xử lý,2786000
10,Chờ xử lý,2786000
11,Chờ xử lý,2786000
12,Chờ xử lý,2786000
13,Chờ xử lý,2786000
14,Chờ xử lý,2786000
15,Chờ xử lý,2786000
16,Chờ xử lý,2786000
17,Chờ xử lý,2786000
18,Đã thanh toán,800000
19,Chờ xử lý,8980000
20,Chờ xử lý,8980000
21,Đã thanh toán,4380000
22,Chờ xử lý,2900000
23,Chờ xử lý,2900000
24,Chờ xử lý,2900000
25,Chờ xử lý,2900000
26,Chờ xử lý,2900000
27,Chờ xử lý,2900000
28,Chờ xử lý,2900000
29,Chờ xử lý,2900000
30,Chờ xử lý,2900000
31,Chờ xử lý,2900000
32,Chờ xử lý,2900000
33,Đã thanh toán,2520000
34,Đã thanh toán,1600000
35,Đã thanh toán,800000
36,Đã thanh toán,650000
37,Đã thanh toán,750000
38,Chờ xử lý,3900000
39,Chờ xử lý,3600000
40,Chờ xử lý,3250000
41,Đã thanh toán,2600000
42,Đã thanh toán,3780000
43,Đã thanh toán,1800000
44,Đã thanh toán,3600000
45,Chờ xử lý,5957000
46,Chờ xử lý,5957000
47,Chờ xử lý,5957000
48,Chờ xử lý,5957000
49,Chờ xử lý,5957000
50,Chờ xử lý,5957000
51,Chờ xử lý,5957000
52,Chờ xử lý,5957000
53,Chờ xử lý,5957000
54,Chờ xử lý,5957000
55,Chờ xử lý,5957000
56,Chờ xử lý,5957000
57,Chờ xử lý,5957000
58,Chờ xử lý,5957000
59,Chờ xử lý,5957000
60,Chờ xử lý,5957000
61,Chờ xử lý,5957000
62,Chờ xử lý,5957000
63,Chờ xử lý,5957000
64,Chờ xử lý,5957000
65,Chờ xử lý,5957000
66,Chờ xử lý,5957000
67,Chờ xử lý,750000
68,Đã thanh toán,1360000
69,Đã thanh toán,4410000
70,Đã thanh toán,1420000
71,Chờ xử lý,4740000
72,Chờ xử lý,4740000
73,Chờ xử lý,4740000
74,Chờ xử lý,4740000
75,Chờ xử lý,4740000
76,Chờ xử lý,4740000
77,Chờ xử lý,4740000
78,Chờ xử lý,4740000
79,Chờ xử lý,4740000
80,Chờ xử lý,4740000
81,Chờ xử lý,4740000
82,Chờ xử lý,4740000
83,Chờ xử lý,4740000
84,Chờ xử lý,4740000
85,Chờ xử lý,4740000
86,Chờ xử lý,4740000
87,Chờ xử lý,4740000
88,Chờ xử lý,4740000
89,Chờ xử lý,4740000
90,Chờ xử lý,4740000
91,Chờ xử lý,4740000
92,Chờ xử lý,4740000
93,Chờ xử lý,4740000
94,Chờ xử lý,4740000
95,Đã thanh toán,981000
96,Đã thanh toán,981000
97,Đã thanh toán,981000
98,Đã thanh toán,981000
99,Đã thanh toán,981000
100,Đã thanh toán,7078000
101,Đã thanh toán,7078000
102,Đã thanh toán,7078000
103,Đã thanh toán,7078000
104,Đã thanh toán,7078000
105,Đã thanh toán,7078000
106,Đã thanh toán,1600000
107,Đã thanh toán,1600000
108,Chờ xử lý,22500000
109,Chờ xử lý,22500000
110,Chờ xử lý,22500000
111,Chờ xử lý,22500000
112,Đã thanh toán,3780000
113,Chờ xử lý,14040000
114,Chờ xử lý,14040000
115,Chờ xử lý,14040000
116,Chờ xử lý,10249200
117,Chờ xử lý,10249200
118,Chờ xử lý,10249200
119,Chờ xử lý,7008000
120,Chờ xử lý,7008000
121,Chờ xử lý,3780000
122,Chờ xử lý,3780000
123,Chờ xử lý,7008000
124,Chờ xử lý,7008000
125,Chờ xử lý,10512000
126,Chờ xử lý,10512000
127,Chờ xử lý,10512000
128,Chờ xử lý,8820000
129,Chờ xử lý,8820000
130,Chờ xử lý,490000
131,Chờ xử lý,703000
132,Chờ xử lý,703000
133,Chờ xử lý,703000
134,Chờ xử lý,703000
135,Chờ xử lý,703000
136,Chờ xử lý,703000
137,Chờ xử lý,703000
138,Chờ xử lý,703000
139,Chờ xử lý,703000
140,Đã thanh toán,3150000
141,Chờ xử lý,945000
142,Chờ xử lý,945000
143,Chờ xử lý,945000
144,Chờ xử lý,945000
145,Chờ xử lý,945000
146,Chờ xử lý,945000
147,Chờ xử lý,525000
148,Chờ xử lý,525000
149,Chờ xử lý,525000
150,Chờ xử lý,525000
151,Chờ xử lý,525000
152,Chờ xử lý,945000
153,Chờ xử lý,945000
154,Chờ xử lý,945000
155,Chờ xử lý,945000
156,Chờ xử lý,945000
157,Chờ xử lý,945000
158,Chờ xử lý,4900000
159,Chờ xử lý,4900000
160,Chờ xử lý,4900000
161,Chờ xử lý,4900000
162,Chờ xử lý,4900000
163,Chờ xử lý,4900000
164,Chờ xử lý,4900000
165,Chờ xử lý,4900000
166,Chờ xử lý,4900000
167,Chờ xử lý,4900000
168,Chờ xử lý,4900000
169,Đã thanh toán,525000
170,Đã thanh toán,525000
171,Đã thanh toán,525000
172,Đã thanh toán,525000
173,Đã thanh toán,525000
174,Chờ xử lý,800000
175,Chờ xử lý,800000
176,Đã thanh toán,800000
177,Chờ xử lý,5185000
178,Chờ xử lý,5185000
179,Chờ xử lý,5185000
180,Chờ xử lý,5185000
181,Chờ xử lý,5185000
182,Chờ xử lý,5185000
183,Chờ xử lý,1600000
184,Chờ xử lý,800000
185,Chờ xử lý,800000
